Division, Date, Home Team, Away Team, Home Score, Away Score, POTM, URL
PREMIER, 26/03/26, Wensum A, Taverham A, 6, 4, Arthur Pendragon,premier1.html
PREMIER, 25/03/26, Gothic A, UEA A, 8, 2, Leonidas King,premier2.html
PREMIER, 24/03/26, Cringleford Spinners, NCC A, 5, 5, David Miller,premier3.html
PREMIER, 23/03/26, Thorpe A, SFC A, 7, 3, Bruce Wayne,premier4.html
PREMIER, 22/03/26, Hethersett Hawks, Rosebery Road A, 6, 4, James Bond,premier5.html
DIVISION 1, 26/03/26, Sprowston Smashers, Wymondham Warriors, 5, 5, Clark Kent,div11.html
DIVISION 1, 25/03/26, Taverham B, Wensum B, 7, 3, Tony Stark,div12.html
DIVISION 1, 24/03/26, Dereham Dynamos, Gothic C, 6, 4, Barry Allen,div13.html
DIVISION 1, 23/03/26, Thorpe B, Costessey Cobras, 8, 2, Dick Grayson,div14.html
DIVISION 1, 22/03/26, UEA D, Eaton Eagles, 5, 5, Jason Todd,div15.html
DIVISION 2, 26/03/26, Poringland Paddles, Mulbarton Meteors, 6, 4, Luke Skywalker,div21.html
DIVISION 2, 25/03/26, Attleborough Aces, Wensum C, 8, 2, Leia Organa,div22.html
DIVISION 2, 24/03/26, Brundall Bears, Aylsham Archers, 5, 5, Lando Calrissian,div23.html
DIVISION 2, 23/03/26, Blofield Bats, NCC B, 7, 3, Finn,div24.html
DIVISION 2, 22/03/26, Thorpe C, Acle Attackers, 6, 4, Rey,div25.html
DIVISION 3, 26/03/26, Hellesdon Harriers, Broadland Vipers, 5, 5, Samwise Gamgee,div31.html
DIVISION 3, 25/03/26, Riverside Rackets, Earlham Experts, 7, 3, Aragorn,div32.html
DIVISION 3, 24/03/26, Bowthorpe Blitz, Lakenham Lightning, 6, 4, Gimli,div33.html
DIVISION 3, 23/03/26, Trowse Titans, Hingham Hitters, 8, 2, Merry Brandybuck,div34.html
DIVISION 3, 22/03/26, Wensum D, Reepham Rovers, 5, 5, Gollum,div35.html
DIVISION 4, 26/03/26, Horsford Heroes, Coltishall Comets, 6, 4, Jon Snow,div41.html
DIVISION 4, 25/03/26, Newton Flotman Flyers, Easton Express, 8, 2, Tyrion Lannister,div42.html
DIVISION 4, 24/03/26, Martham Mavericks, Hemsby Hurricanes, 5, 5, Sansa Stark,div43.html
DIVISION 4, 23/03/26, Wensum F, Taverham E, 7, 3, Cersei Lannister,div44.html
DIVISION 4, 22/03/26, Thorpe F, Gothic D, 6, 4, Theon Greyjoy,div45.html
