Division,Rank,Team,Played,Win,Lose,Draw,Sets For/Against,Games For/Against,Points
PREMIER,1,Wensum A,18,17,0,1,165/15,500/80,170
PREMIER,2,Taverham A,18,15,2,1,148/32,460/115,151
PREMIER,3,Gothic A,18,14,3,1,135/45,420/150,138
PREMIER,4,UEA A,18,12,5,1,120/60,380/190,123
PREMIER,5,Cringleford Spinners,18,10,7,1,105/75,340/240,108
PREMIER,6,NCC A,18,8,8,2,90/90,290/290,94
PREMIER,7,Thorpe A,18,6,11,1,75/105,250/330,78
PREMIER,8,SFC A,18,4,13,1,55/125,190/390,57
PREMIER,9,Hethersett Hawks,18,2,15,1,35/145,120/460,37
PREMIER,10,Rosebery Road A,18,0,17,1,15/165,60/520,16
DIVISION 1,1,Sprowston Smashers,18,16,1,1,155/25,480/100,160
DIVISION 1,2,Wymondham Warriors,18,14,3,1,140/40,440/140,143
DIVISION 1,3,Taverham B,18,13,4,1,130/50,410/170,133
DIVISION 1,4,Wensum B,18,11,6,1,115/65,370/210,118
DIVISION 1,5,Dereham Dynamos,18,9,7,2,100/80,320/260,103
DIVISION 1,6,Gothic C,18,8,9,1,90/90,290/290,91
DIVISION 1,7,Thorpe B,18,6,11,1,70/110,230/350,72
DIVISION 1,8,Costessey Cobras,18,5,12,1,60/120,200/380,62
DIVISION 1,9,UEA D,18,3,14,1,40/140,140/440,42
DIVISION 1,10,Eaton Eagles,18,1,16,1,20/160,80/500,22
DIVISION 2,1,Poringland Paddles,18,15,1,2,145/35,460/120,149
DIVISION 2,2,Mulbarton Meteors,18,14,3,1,138/42,440/140,141
DIVISION 2,3,Attleborough Aces,18,12,4,2,125/55,400/180,129
DIVISION 2,4,Wensum C,18,11,6,1,110/70,360/220,113
DIVISION 2,5,Brundall Bears,18,9,8,1,95/85,310/270,97
DIVISION 2,6,Aylsham Archers,18,8,9,1,85/95,280/300,87
DIVISION 2,7,Blofield Bats,18,6,11,1,70/110,230/350,72
DIVISION 2,8,NCC B,18,4,13,1,50/130,170/410,52
DIVISION 2,9,Thorpe C,18,3,15,0,35/145,120/460,35
DIVISION 2,10,Acle Attackers,18,1,16,1,20/160,70/510,22
DIVISION 3,1,Hellesdon Harriers,18,16,1,1,150/30,470/110,154
DIVISION 3,2,Broadland Vipers,18,14,3,1,135/45,430/150,138
DIVISION 3,3,Riverside Rackets,18,12,4,2,120/60,390/190,124
DIVISION 3,4,Earlham Experts,18,10,7,1,105/75,340/240,108
DIVISION 3,5,Bowthorpe Blitz,18,9,8,1,95/85,310/270,97
DIVISION 3,6,Lakenham Lightning,18,8,9,1,85/95,280/300,87
DIVISION 3,7,Trowse Titans,18,6,11,1,70/110,230/350,72
DIVISION 3,8,Hingham Hitters,18,4,13,1,50/130,170/410,52
DIVISION 3,9,Wensum D,18,3,15,0,35/145,120/460,35
DIVISION 3,10,Reepham Rovers,18,1,16,1,20/160,70/510,22
DIVISION 4,1,Horsford Heroes,18,15,1,2,145/35,460/120,149
DIVISION 4,2,Coltishall Comets,18,14,3,1,138/42,440/140,141
DIVISION 4,3,Newton Flotman Flyers,18,12,4,2,125/55,400/180,129
DIVISION 4,4,Easton Express,18,11,6,1,110/70,360/220,113
DIVISION 4,5,Martham Mavericks,18,9,8,1,95/85,310/270,97
DIVISION 4,6,Hemsby Hurricanes,18,8,9,1,85/95,280/300,87
DIVISION 4,7,Wensum F,18,6,11,1,70/110,230/350,72
DIVISION 4,8,Taverham E,18,4,13,1,50/130,170/410,52
DIVISION 4,9,Thorpe F,18,3,15,0,35/145,120/460,35
DIVISION 4,10,Gothic D,18,1,16,1,20/160,70/510,22
